rule_id,rule_nm,p_rule_id,depth,rule_seq,child_exist_yn,use_yn
,,,,,,
2020-01-22 10:03:43.462000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,
2020-01-22 10:37:13.831000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,
2020-01-21 01:14:12.715000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,
2020-01-21 01:14:29.539000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,
2020-01-22 09:58:44.795000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,
2020-01-22 11:10:50.527000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,
2020-01-22 13:12:48.822000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,
2020-01-22 13:13:49.909000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,
2020-01-21 01:15:43.769000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,
2020-01-21 01:15:56.779000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,
2020-01-22 12:54:09.048000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,
1,root,,1,0,Y,Y
